year_month,variable,value
2019-11,board sports,65
2019-12,board sports,58
2020-01,board sports,52
2019-03,boardgames,30
2019-04,boardgames,39
2019-05,boardgames,44
2019-06,boardgames,34
2019-07,boardgames,35
2019-08,boardgames,50
2019-09,boardgames,37
2019-10,boardgames,50
2019-11,boardgames,56
2019-12,boardgames,84
2020-01,boardgames,49
2019-03,bodybuilding,41
2019-04,bodybuilding,41
2019-05,bodybuilding,40
2019-06,bodybuilding,40
2019-07,bodybuilding,40
2019-08,bodybuilding,35
2019-09,bodybuilding,33
2019-10,bodybuilding,33
2019-11,bodybuilding,31
2019-12,bodybuilding,30
2020-01,bodybuilding,33
2019-03,bonsai,88
2019-04,bonsai,91
2019-05,bonsai,96
2019-06,bonsai,94
2019-07,bonsai,86
2019-08,bonsai,85
2019-09,bonsai,71
2019-10,bonsai,65
2019-11,bonsai,68
2019-12,bonsai,79
2020-01,bonsai,74
2019-03,boxing,51
2019-04,boxing,44
2019-05,boxing,49
2019-06,boxing,56
2019-07,boxing,51
2019-08,boxing,41
2019-09,boxing,45
2019-10,boxing,41
2019-11,boxing,57
2019-12,boxing,68
2020-01,boxing,45
2019-03,breakdancing,56
2019-04,breakdancing,39
2019-05,breakdancing,60
2019-06,breakdancing,97
2019-07,breakdancing,61
2019-08,breakdancing,64
2019-09,breakdancing,63
2019-10,breakdancing,69
2019-11,breakdancing,61
2019-12,breakdancing,41
2020-01,breakdancing,67
2019-03,bridge,68
2019-04,bridge,70
2019-05,bridge,75
2019-06,bridge,75
2019-07,bridge,74
2019-08,bridge,75
2019-09,bridge,70
2019-10,bridge,69
2019-11,bridge,63
2019-12,bridge,59
2020-01,bridge,60
2019-03,bus riding,37
2019-04,bus riding,24
2019-05,bus riding,34
2019-06,bus riding,29
2019-07,bus riding,34
2019-08,bus riding,42
2019-09,bus riding,50
2019-10,bus riding,44
2019-11,bus riding,30
2019-12,bus riding,29
2020-01,bus riding,29
2019-03,camping,48
2019-04,camping,54
2019-05,camping,74
2019-06,camping,93
2019-07,camping,93
2019-08,camping,76
2019-09,camping,53
2019-10,camping,39
2019-11,camping,29
2019-12,camping,30
2020-01,camping,37
2019-03,canoeing,21
2019-04,canoeing,30
2019-05,canoeing,44
2019-06,canoeing,50
2019-07,canoeing,67
2019-08,canoeing,49
2019-09,canoeing,21
2019-10,canoeing,13
2019-11,canoeing,9
2019-12,canoeing,9
2020-01,canoeing,13
2019-03,canyoning,39
2019-04,canyoning,28
2019-05,canyoning,74
2019-06,canyoning,100
2019-07,canyoning,89
2019-08,canyoning,86
2019-09,canyoning,57
2019-10,canyoning,29
2019-11,canyoning,44
2019-12,canyoning,33
2020-01,canyoning,55
2019-03,car riding,71
2019-04,car riding,86
2019-05,car riding,85
2019-06,car riding,86
2019-07,car riding,82
2019-08,car riding,76
2019-09,car riding,69
2019-10,car riding,66
2019-11,car riding,77
2019-12,car riding,68
2020-01,car riding,62
2019-03,car tuning,69
2019-04,car tuning,76
2019-05,car tuning,69
2019-06,car tuning,68
2019-07,car tuning,61
2019-08,car tuning,83
2019-09,car tuning,77
2019-10,car tuning,68
2019-11,car tuning,59
2019-12,car tuning,55
2020-01,car tuning,71
2019-03,caving,68
2019-04,caving,62
2019-05,caving,60
2019-06,caving,75
2019-07,caving,75
2019-08,caving,59
2019-09,caving,46
2019-10,caving,51
2019-11,caving,47
2019-12,caving,54
2020-01,caving,61
2019-03,checkers,95
2019-04,checkers,87
2019-05,checkers,98
2019-06,checkers,97
2019-07,checkers,89
2019-08,checkers,90
2019-09,checkers,83
2019-10,checkers,85
2019-11,checkers,89
2019-12,checkers,88
2020-01,checkers,86
2019-03,cheerleading,43
2019-04,cheerleading,45
2019-05,cheerleading,38
2019-06,cheerleading,35
2019-07,cheerleading,34
2019-08,cheerleading,40
2019-09,cheerleading,48
2019-10,cheerleading,46
2019-11,cheerleading,38
2019-12,cheerleading,32
2020-01,cheerleading,59
2019-03,climbing,100
2019-04,climbing,91
2019-05,climbing,89
2019-06,climbing,85
2019-07,climbing,85
2019-08,climbing,81
2019-09,climbing,79
2019-10,climbing,75
2019-11,climbing,81
2019-12,climbing,81
2020-01,climbing,78
2019-03,color guard,81
2019-04,color guard,72
2019-05,color guard,77
2019-06,color guard,52
2019-07,color guard,62
2019-08,color guard,73
2019-09,color guard,79
2019-10,color guard,65
2019-11,color guard,70
2019-12,color guard,47
2020-01,color guard,56
2019-03,composting,62
2019-04,composting,89
2019-05,composting,100
2019-06,composting,69
2019-07,composting,56
2019-08,composting,55
2019-09,composting,60
2019-10,composting,57
2019-11,composting,58
2019-12,composting,50
2020-01,composting,62
2019-03,cornhole,25
2019-04,cornhole,43
2019-05,cornhole,65
2019-06,cornhole,92
2019-07,cornhole,100
2019-08,cornhole,82
2019-09,cornhole,55
2019-10,cornhole,36
2019-11,cornhole,30
2019-12,cornhole,35
2020-01,cornhole,26
2019-03,cribbage,65
2019-04,cribbage,62
2019-05,cribbage,71
2019-06,cribbage,69
2019-07,cribbage,76
2019-08,cribbage,69
2019-09,cribbage,66
2019-10,cribbage,56
2019-11,cribbage,70
2019-12,cribbage,96
2020-01,cribbage,92
2019-03,cricket,29
2019-04,cricket,27
2019-05,cricket,32
2019-06,cricket,85
2019-07,cricket,63
2019-08,cricket,33
2019-09,cricket,31
2019-10,cricket,29
2019-11,cricket,32
2019-12,cricket,31
2020-01,cricket,27
2019-03,crochet,58
2019-04,crochet,51
2019-05,crochet,49
2019-06,crochet,54
2019-07,crochet,54
2019-08,crochet,54
2019-09,crochet,53
2019-10,crochet,61
2019-11,crochet,68
2019-12,crochet,73
2020-01,crochet,67
2019-03,croquet,50
2019-04,croquet,79
2019-05,croquet,78
2019-06,croquet,82
2019-07,croquet,84
2019-08,croquet,64
2019-09,croquet,49
2019-10,croquet,43
2019-11,croquet,39
2019-12,croquet,45
2020-01,croquet,30
2019-03,cross stitching,67
2019-04,cross stitching,50
2019-05,cross stitching,39
2019-06,cross stitching,48
2019-07,cross stitching,57
2019-08,cross stitching,71
2019-09,cross stitching,65
2019-10,cross stitching,77
2019-11,cross stitching,49
2019-12,cross stitching,92
2020-01,cross stitching,66
2019-03,curling,10
2019-04,curling,9
2019-05,curling,8
2019-06,curling,8
2019-07,curling,7
2019-08,curling,8
2019-09,curling,8
2019-10,curling,8
2019-11,curling,10
2019-12,curling,13
2020-01,curling,10
2019-03,cycling,52
2019-04,cycling,56
2019-05,cycling,57
2019-06,cycling,61
2019-07,cycling,65
2019-08,cycling,56
2019-09,cycling,50
2019-10,cycling,45
2019-11,cycling,42
2019-12,cycling,44
2020-01,cycling,48
2019-03,dancing,46
2019-04,dancing,43
2019-05,dancing,42
2019-06,dancing,43
2019-07,dancing,43
2019-08,dancing,54
2019-09,dancing,61
2019-10,dancing,62
2019-11,dancing,63
2019-12,dancing,47
2020-01,dancing,44
2019-03,darts,83
2019-04,darts,71
2019-05,darts,68
2019-06,darts,68
2019-07,darts,72
2019-08,darts,64
2019-09,darts,68
2019-10,darts,67
2019-11,darts,80
2019-12,darts,100
2020-01,darts,87
2019-03,debate,3
2019-04,debate,3
2019-05,debate,2
2019-06,debate,19
2019-07,debate,11
2019-08,debate,8
2019-09,debate,12
2019-10,debate,10
2019-11,debate,9
2019-12,debate,7
2020-01,debate,9
2019-03,disc golf,63
2019-04,disc golf,75
2019-05,disc golf,82
2019-06,disc golf,84
2019-07,disc golf,84
2019-08,disc golf,83
2019-09,disc golf,68
2019-10,disc golf,56
2019-11,disc golf,45
2019-12,disc golf,41
2020-01,disc golf,44
2019-03,documentaries,90
2019-04,documentaries,78
2019-05,documentaries,73
2019-06,documentaries,73
2019-07,documentaries,71
2019-08,documentaries,70
2019-09,documentaries,69
2019-10,documentaries,65
2019-11,documentaries,70
2019-12,documentaries,69
2020-01,documentaries,92
2019-03,dog sport,66
2019-04,dog sport,54
2019-05,dog sport,50
2019-06,dog sport,68
2019-07,dog sport,65
2019-08,dog sport,65
2019-09,dog sport,58
2019-10,dog sport,77
2019-11,dog sport,61
2019-12,dog sport,83
2020-01,dog sport,71
2019-03,dog training,94
2019-04,dog training,90
2019-05,dog training,88
2019-06,dog training,96
2019-07,dog training,90
2019-08,dog training,95
2019-09,dog training,84
2019-10,dog training,86
2019-11,dog training,85
2019-12,dog training,89
2020-01,dog training,100
2019-03,dog walking,90
2019-04,dog walking,84
2019-05,dog walking,90
2019-06,dog walking,98
2019-07,dog walking,82
2019-08,dog walking,87
2019-09,dog walking,86
2019-10,dog walking,84
2019-11,dog walking,78
2019-12,dog walking,84
2020-01,dog walking,86
2019-03,dominoes,67
2019-04,dominoes,54
2019-05,dominoes,53
2019-06,dominoes,56
2019-07,dominoes,55
2019-08,dominoes,48
2019-09,dominoes,45
2019-10,dominoes,48
2019-11,dominoes,48
2019-12,dominoes,59
2020-01,dominoes,48
2019-03,dowsing,57
2019-04,dowsing,75
2019-05,dowsing,56
2019-06,dowsing,62
2019-07,dowsing,52
2019-08,dowsing,81
2019-09,dowsing,63
2019-10,dowsing,46
2019-11,dowsing,61
2019-12,dowsing,50
2020-01,dowsing,56
2019-03,driving,73
2019-04,driving,73
2019-05,driving,78
2019-06,driving,86
2019-07,driving,80
2019-08,driving,75
2019-09,driving,73
2019-10,driving,67
2019-11,driving,61
2019-12,driving,64
2020-01,driving,70
2019-03,dungeons & dragons,70
2019-04,dungeons & dragons,73
2019-05,dungeons & dragons,80
2019-06,dungeons & dragons,58
2019-07,dungeons & dragons,68
2019-08,dungeons & dragons,57
2019-09,dungeons & dragons,70
2019-10,dungeons & dragons,80
2019-11,dungeons & dragons,50
2019-12,dungeons & dragons,74
2020-01,dungeons & dragons,65
2019-03,eating,84
2019-04,eating,83
2019-05,eating,79
2019-06,eating,87
2019-07,eating,100
2019-08,eating,81
2019-09,eating,80
2019-10,eating,78
2019-11,eating,76
2019-12,eating,75
2020-01,eating,81
2019-03,editing,78
2019-04,editing,75
2019-05,editing,75
2019-06,editing,72
2019-07,editing,71
2019-08,editing,70
2019-09,editing,73
2019-10,editing,77
2019-11,editing,76
2019-12,editing,73
2020-01,editing,74
2019-03,emacs,52
2019-04,emacs,51
2019-05,emacs,48
2019-06,emacs,49
2019-07,emacs,52
2019-08,emacs,47
2019-09,emacs,43
2019-10,emacs,49
2019-11,emacs,39
2019-12,emacs,34
2020-01,emacs,42
2019-03,esports,55
2019-04,esports,50
2019-05,esports,53
2019-06,esports,48
2019-07,esports,50
2019-08,esports,54
2019-09,esports,51
2019-10,esports,71
2019-11,esports,57
2019-12,esports,43
2020-01,esports,49
2019-03,farming,57
2019-04,farming,58
2019-05,farming,57
2019-06,farming,55
2019-07,farming,53
2019-08,farming,53
2019-09,farming,60
2019-10,farming,63
2019-11,farming,60
2019-12,farming,57
2020-01,farming,62
2019-03,fencing,61
2019-04,fencing,74
2019-05,fencing,67
2019-06,fencing,65
2019-07,fencing,54
2019-08,fencing,53
2019-09,fencing,52
2019-10,fencing,46
2019-11,fencing,42
2019-12,fencing,37
2020-01,fencing,47
2019-03,field hockey,18
2019-04,field hockey,19
2019-05,field hockey,19
2019-06,field hockey,20
2019-07,field hockey,19
2019-08,field hockey,36
2019-09,field hockey,63
2019-10,field hockey,61
2019-11,field hockey,51
2019-12,field hockey,15
2020-01,field hockey,17
2019-03,figure skating,5
2019-04,figure skating,2
2019-05,figure skating,2
2019-06,figure skating,2
2019-07,figure skating,2
2019-08,figure skating,2
2019-09,figure skating,2
2019-10,figure skating,3
2019-11,figure skating,3
2019-12,figure skating,3
2020-01,figure skating,7
2019-03,fishing,65
2019-04,fishing,76
2019-05,fishing,86
2019-06,fishing,100
2019-07,fishing,93
2019-08,fishing,78
2019-09,fishing,61
2019-10,fishing,50
2019-11,fishing,43
2019-12,fishing,47
2020-01,fishing,52
2019-03,fitness,76
2019-04,fitness,76
2019-05,fitness,81
2019-06,fitness,78
2019-07,fitness,81
2019-08,fitness,72
2019-09,fitness,70
2019-10,fitness,67
2019-11,fitness,70
2019-12,fitness,73
2020-01,fitness,95
2019-03,flag football,42
2019-04,flag football,44
2019-05,flag football,41
2019-06,flag football,35
2019-07,flag football,40
2019-08,flag football,70
2019-09,flag football,89
2019-10,flag football,66
2019-11,flag football,50
2019-12,flag football,30
2020-01,flag football,45
2019-03,flower growing,56
2019-04,flower growing,88
2019-05,flower growing,74
2019-06,flower growing,67
2019-07,flower growing,61
2019-08,flower growing,39
2019-09,flower growing,41
2019-10,flower growing,39
2019-11,flower growing,30
2019-12,flower growing,26
2020-01,flower growing,38
2019-03,flying,88
2019-04,flying,93
2019-05,flying,97
2019-06,flying,100
2019-07,flying,96
2019-08,flying,91
2019-09,flying,87
2019-10,flying,87
2019-11,flying,82
2019-12,flying,82
2020-01,flying,90
2019-03,flying disc,12
2019-04,flying disc,19
2019-05,flying disc,100
2019-06,flying disc,58
2019-07,flying disc,52
2019-08,flying disc,21
2019-09,flying disc,13
2019-10,flying disc,17
2019-11,flying disc,16
2019-12,flying disc,34
2020-01,flying disc,9
2019-03,footbag,12
2019-04,footbag,31
2019-05,footbag,18
2019-06,footbag,44
2019-07,footbag,55
2019-08,footbag,30
2019-09,footbag,23
2019-10,footbag,50
2019-11,footbag,17
2019-12,footbag,33
2020-01,footbag,26
2019-03,foraging,64
2019-04,foraging,100
2019-05,foraging,89
2019-06,foraging,71
2019-07,foraging,52
2019-08,foraging,62
2019-09,foraging,98
2019-10,foraging,82
2019-11,foraging,74
2019-12,foraging,68
2020-01,foraging,73
2019-03,freestyle football,21
2019-04,freestyle football,11
2019-05,freestyle football,16
2019-06,freestyle football,17
2019-07,freestyle football,17
2019-08,freestyle football,11
2019-09,freestyle football,46
2019-10,freestyle football,10
2019-11,freestyle football,51
2019-12,freestyle football,30
2020-01,freestyle football,14
2019-03,frisbee,40
2019-04,frisbee,58
2019-05,frisbee,62
2019-06,frisbee,61
2019-07,frisbee,51
2019-08,frisbee,53
2019-09,frisbee,52
2019-10,frisbee,44
2019-11,frisbee,36
2019-12,frisbee,34
2020-01,frisbee,37
2019-03,fruit picking,24
2019-04,fruit picking,40
2019-05,fruit picking,62
2019-06,fruit picking,100
2019-07,fruit picking,87
2019-08,fruit picking,73
2019-09,fruit picking,69
2019-10,fruit picking,49
2019-11,fruit picking,15
2019-12,fruit picking,11
2020-01,fruit picking,21
2019-03,geocaching,21
2019-04,geocaching,26
2019-05,geocaching,27
2019-06,geocaching,30
2019-07,geocaching,29
2019-08,geocaching,25
2019-09,geocaching,20
2019-10,geocaching,20
2019-11,geocaching,18
2019-12,geocaching,15
2020-01,geocaching,19
2019-03,ghost hunting,63
2019-04,ghost hunting,60
2019-05,ghost hunting,45
2019-06,ghost hunting,56
2019-07,ghost hunting,72
2019-08,ghost hunting,61
2019-09,ghost hunting,67
2019-10,ghost hunting,80
2019-11,ghost hunting,54
2019-12,ghost hunting,66
2020-01,ghost hunting,56
2019-03,go,36
2019-04,go,33
2019-05,go,35
2019-06,go,36
2019-07,go,37
2019-08,go,36
2019-09,go,35
2019-10,go,33
2019-11,go,33
2019-12,go,33
2020-01,go,35
2019-03,gold prospecting,27
2019-04,gold prospecting,32
2019-05,gold prospecting,32
2019-06,gold prospecting,37
2019-07,gold prospecting,26
2019-08,gold prospecting,31
2019-09,gold prospecting,20
2019-10,gold prospecting,20
2019-11,gold prospecting,28
2019-12,gold prospecting,25
2020-01,gold prospecting,24
2019-03,golfing,58
2019-04,golfing,72
2019-05,golfing,73
2019-06,golfing,93
2019-07,golfing,86
2019-08,golfing,75
2019-09,golfing,62
2019-10,golfing,52
2019-11,golfing,43
2019-12,golfing,58
2020-01,golfing,56
2019-03,graffiti,65
2019-04,graffiti,65
2019-05,graffiti,65
2019-06,graffiti,56
2019-07,graffiti,60
2019-08,graffiti,75
2019-09,graffiti,66
2019-10,graffiti,64
2019-11,graffiti,61
2019-12,graffiti,59
2020-01,graffiti,59
2019-03,gymnastics,15
2019-04,gymnastics,14
2019-05,gymnastics,11
2019-06,gymnastics,11
2019-07,gymnastics,11
2019-08,gymnastics,14
2019-09,gymnastics,11
2019-10,gymnastics,12
2019-11,gymnastics,10
2019-12,gymnastics,9
2020-01,gymnastics,14
2019-03,handball,9
2019-04,handball,10
2019-05,handball,8
2019-06,handball,10
2019-07,handball,7
2019-08,handball,9
2019-09,handball,9
2019-10,handball,12
2019-11,handball,12
2019-12,handball,12
2020-01,handball,17
2019-03,herbalism,32
2019-04,herbalism,40
2019-05,herbalism,31
2019-06,herbalism,50
2019-07,herbalism,30
2019-08,herbalism,57
2019-09,herbalism,100
2019-10,herbalism,79
2019-11,herbalism,65
2019-12,herbalism,56
2020-01,herbalism,63
2019-03,herping,46
2019-04,herping,55
2019-05,herping,54
2019-06,herping,49
2019-07,herping,34
2019-08,herping,58
2019-09,herping,32
2019-10,herping,23
2019-11,herping,28
2019-12,herping,32
2020-01,herping,30
2019-03,hiking,76
2019-04,hiking,76
2019-05,hiking,81
2019-06,hiking,96
2019-07,hiking,92
2019-08,hiking,84
2019-09,hiking,72
2019-10,hiking,68
2019-11,hiking,59
2019-12,hiking,54
2020-01,hiking,64
2019-03,hooping,39
2019-04,hooping,36
