variable,group,value
book discussion clubs,2021-10,100.0
planning,2019-01,91.30434782608695
planning,2019-02,91.30434782608695
planning,2019-03,89.1304347826087
planning,2019-04,89.1304347826087
planning,2019-05,86.95652173913044
planning,2019-06,82.6086956521739
planning,2019-07,80.43478260869566
planning,2019-08,84.78260869565217
planning,2019-09,93.47826086956522
planning,2019-10,91.30434782608695
planning,2019-11,80.43478260869566
planning,2019-12,76.08695652173913
planning,2020-01,97.82608695652173
planning,2020-02,100.0
planning,2020-03,80.43478260869566
planning,2020-04,78.26086956521739
planning,2020-05,76.08695652173913
planning,2020-06,80.43478260869566
planning,2020-07,82.6086956521739
planning,2020-08,78.26086956521739
planning,2020-09,93.47826086956522
planning,2020-10,86.95652173913044
planning,2020-11,73.91304347826087
planning,2020-12,67.3913043478261
planning,2021-01,76.08695652173913
planning,2021-02,82.6086956521739
planning,2021-03,80.43478260869566
planning,2021-04,86.95652173913044
planning,2021-05,80.43478260869566
planning,2021-06,73.91304347826087
planning,2021-07,71.73913043478261
planning,2021-08,73.91304347826087
planning,2021-09,84.78260869565217
planning,2021-10,82.6086956521739
marching band,2019-01,31.914893617021278
marching band,2019-02,25.53191489361702
marching band,2019-03,27.659574468085108
marching band,2019-04,29.78723404255319
marching band,2019-05,36.170212765957444
marching band,2019-06,27.659574468085108
marching band,2019-07,36.170212765957444
marching band,2019-08,59.57446808510638
marching band,2019-09,87.23404255319149
marching band,2019-10,100.0
marching band,2019-11,61.702127659574465
marching band,2019-12,29.78723404255319
marching band,2020-01,29.78723404255319
marching band,2020-02,25.53191489361702
marching band,2020-03,21.27659574468085
marching band,2020-04,21.27659574468085
marching band,2020-05,25.53191489361702
marching band,2020-06,21.27659574468085
marching band,2020-07,27.659574468085108
marching band,2020-08,25.53191489361702
marching band,2020-09,27.659574468085108
marching band,2020-10,23.404255319148938
marching band,2020-11,21.27659574468085
marching band,2020-12,14.893617021276595
marching band,2021-01,17.02127659574468
marching band,2021-02,17.02127659574468
marching band,2021-03,14.893617021276595
marching band,2021-04,17.02127659574468
marching band,2021-05,19.148936170212767
marching band,2021-06,17.02127659574468
marching band,2021-07,25.53191489361702
marching band,2021-08,36.170212765957444
marching band,2021-09,55.319148936170215
marching band,2021-10,70.2127659574468
brazilian jiu-jitsu,2019-01,42.10526315789474
brazilian jiu-jitsu,2019-02,73.6842105263158
brazilian jiu-jitsu,2019-03,47.36842105263158
brazilian jiu-jitsu,2019-04,63.1578947368421
brazilian jiu-jitsu,2019-05,47.36842105263158
brazilian jiu-jitsu,2019-06,47.36842105263158
brazilian jiu-jitsu,2019-07,84.21052631578948
brazilian jiu-jitsu,2019-08,89.47368421052632
brazilian jiu-jitsu,2019-09,78.94736842105263
brazilian jiu-jitsu,2019-10,47.36842105263158
brazilian jiu-jitsu,2019-11,57.89473684210526
brazilian jiu-jitsu,2019-12,47.36842105263158
brazilian jiu-jitsu,2020-01,57.89473684210526
brazilian jiu-jitsu,2020-02,63.1578947368421
brazilian jiu-jitsu,2020-03,52.63157894736842
brazilian jiu-jitsu,2020-04,26.31578947368421
brazilian jiu-jitsu,2020-05,31.57894736842105
brazilian jiu-jitsu,2020-06,52.63157894736842
brazilian jiu-jitsu,2020-07,57.89473684210526
brazilian jiu-jitsu,2020-08,89.47368421052632
brazilian jiu-jitsu,2020-09,89.47368421052632
brazilian jiu-jitsu,2020-10,47.36842105263158
brazilian jiu-jitsu,2020-11,57.89473684210526
brazilian jiu-jitsu,2020-12,36.8421052631579
brazilian jiu-jitsu,2021-01,68.42105263157895
brazilian jiu-jitsu,2021-02,26.31578947368421
brazilian jiu-jitsu,2021-03,73.6842105263158
brazilian jiu-jitsu,2021-04,52.63157894736842
brazilian jiu-jitsu,2021-05,42.10526315789474
brazilian jiu-jitsu,2021-06,47.36842105263158
brazilian jiu-jitsu,2021-07,100.0
