year_month,variable,value
2020-05,beauty pageants,24
2020-06,beauty pageants,26
2020-07,beauty pageants,19
2020-08,beauty pageants,18
2020-09,beauty pageants,27
2020-10,beauty pageants,18
2020-11,beauty pageants,21
2020-12,beauty pageants,26
2021-01,beauty pageants,31
2021-02,beauty pageants,22
2021-03,beauty pageants,30
2021-04,beauty pageants,29
2021-05,beauty pageants,23
2021-06,beauty pageants,19
2021-07,beauty pageants,25
2021-08,beauty pageants,19
2021-09,beauty pageants,27
2021-10,beauty pageants,17
2020-03,beekeeping,61
2020-04,beekeeping,100
2020-05,beekeeping,94
2020-06,beekeeping,77
2020-07,beekeeping,52
2020-08,beekeeping,52
2020-09,beekeeping,42
2020-10,beekeeping,36
2020-11,beekeeping,34
2020-12,beekeeping,41
2021-01,beekeeping,54
2021-02,beekeeping,50
2021-03,beekeeping,68
2021-04,beekeeping,63
2021-05,beekeeping,65
2021-06,beekeeping,47
2021-07,beekeeping,46
2021-08,beekeeping,51
2021-09,beekeeping,36
2021-10,beekeeping,34
2020-03,billiards,55
2020-04,billiards,34
2020-05,billiards,41
2020-06,billiards,60
2020-07,billiards,54
2020-08,billiards,52
2020-09,billiards,52
2020-10,billiards,58
2020-11,billiards,58
2020-12,billiards,59
2021-01,billiards,66
2021-02,billiards,72
2021-03,billiards,79
2021-04,billiards,73
2021-05,billiards,76
2021-06,billiards,78
2021-07,billiards,74
2021-08,billiards,70
2021-09,billiards,69
2021-10,billiards,67
2020-03,birdwatching,47
2020-04,birdwatching,54
2020-05,birdwatching,62
2020-06,birdwatching,100
2020-07,birdwatching,61
2020-08,birdwatching,49
2020-09,birdwatching,44
2020-10,birdwatching,54
2020-11,birdwatching,38
2020-12,birdwatching,48
2021-01,birdwatching,39
2021-02,birdwatching,47
2021-03,birdwatching,56
2021-04,birdwatching,69
2021-05,birdwatching,46
2021-06,birdwatching,55
2021-07,birdwatching,42
2021-08,birdwatching,54
2021-09,birdwatching,21
2021-10,birdwatching,24
2020-03,blacksmithing,31
2020-04,blacksmithing,45
2020-05,blacksmithing,38
2020-06,blacksmithing,39
2020-07,blacksmithing,36
2020-08,blacksmithing,37
2020-09,blacksmithing,31
2020-10,blacksmithing,33
2020-11,blacksmithing,53
2020-12,blacksmithing,51
2021-01,blacksmithing,52
2021-02,blacksmithing,37
2021-03,blacksmithing,36
2021-04,blacksmithing,30
2021-05,blacksmithing,40
2021-06,blacksmithing,51
2021-07,blacksmithing,43
2021-08,blacksmithing,32
2021-09,blacksmithing,29
2021-10,blacksmithing,35
2020-03,bmx,56
2020-04,bmx,80
2020-05,bmx,100
2020-06,bmx,100
2020-07,bmx,99
2020-08,bmx,90
2020-09,bmx,82
2020-10,bmx,77
2020-11,bmx,78
2020-12,bmx,76
2021-01,bmx,62
2021-02,bmx,56
2021-03,bmx,74
2021-04,bmx,82
2021-05,bmx,78
2021-06,bmx,76
2021-07,bmx,98
2021-08,bmx,85
2021-09,bmx,62
2021-10,bmx,59
2020-03,board sports,46
2020-04,board sports,47
2020-05,board sports,61
2020-06,board sports,67
2020-07,board sports,74
2020-08,board sports,75
2020-09,board sports,59
2020-10,board sports,51
2020-11,board sports,58
2020-12,board sports,50
2021-01,board sports,46
2021-02,board sports,51
2021-03,board sports,52
2021-04,board sports,57
2021-05,board sports,52
2021-06,board sports,57
2021-07,board sports,53
2021-08,board sports,55
2021-09,board sports,56
2021-10,board sports,44
2020-03,boardgames,76
2020-04,boardgames,84
2020-05,boardgames,68
2020-06,boardgames,54
2020-07,boardgames,52
2020-08,boardgames,52
2020-09,boardgames,37
2020-10,boardgames,49
2020-11,boardgames,54
2020-12,boardgames,63
2021-01,boardgames,46
2021-02,boardgames,38
2021-03,boardgames,22
2021-04,boardgames,22
2021-05,boardgames,49
2021-06,boardgames,49
2021-07,boardgames,28
2021-08,boardgames,31
2021-09,boardgames,35
2021-10,boardgames,41
2020-03,bodybuilding,29
2020-04,bodybuilding,25
2020-05,bodybuilding,27
2020-06,bodybuilding,28
2020-07,bodybuilding,28
2020-08,bodybuilding,27
2020-09,bodybuilding,28
2020-10,bodybuilding,28
2020-11,bodybuilding,24
2020-12,bodybuilding,27
2021-01,bodybuilding,30
2021-02,bodybuilding,27
2021-03,bodybuilding,30
2021-04,bodybuilding,29
2021-05,bodybuilding,29
2021-06,bodybuilding,30
2021-07,bodybuilding,30
2021-08,bodybuilding,29
2021-09,bodybuilding,25
2021-10,bodybuilding,25
2020-03,bonsai,60
2020-04,bonsai,80
2020-05,bonsai,98
2020-06,bonsai,88
2020-07,bonsai,83
2020-08,bonsai,82
2020-09,bonsai,82
2020-10,bonsai,69
2020-11,bonsai,62
2020-12,bonsai,80
2021-01,bonsai,98
2021-02,bonsai,88
2021-03,bonsai,97
2021-04,bonsai,100
2021-05,bonsai,100
2021-06,bonsai,93
2021-07,bonsai,83
2021-08,bonsai,80
2021-09,bonsai,68
2021-10,bonsai,71
2020-03,boxing,33
2020-04,boxing,26
2020-05,boxing,27
2020-06,boxing,32
2020-07,boxing,33
2020-08,boxing,33
2020-09,boxing,33
2020-10,boxing,41
2020-11,boxing,60
2020-12,boxing,66
2021-01,boxing,44
2021-02,boxing,42
2021-03,boxing,39
2021-04,boxing,46
2021-05,boxing,54
2021-06,boxing,79
2021-07,boxing,51
2021-08,boxing,53
2021-09,boxing,43
2021-10,boxing,61
2020-03,breakdancing,23
2020-04,breakdancing,34
2020-05,breakdancing,24
2020-06,breakdancing,31
2020-07,breakdancing,22
2020-08,breakdancing,23
2020-09,breakdancing,22
2020-10,breakdancing,32
2020-11,breakdancing,21
2020-12,breakdancing,100
2021-01,breakdancing,33
2021-02,breakdancing,26
2021-03,breakdancing,25
2021-04,breakdancing,24
2021-05,breakdancing,17
2021-06,breakdancing,25
2021-07,breakdancing,59
2021-08,breakdancing,33
2021-09,breakdancing,14
2021-10,breakdancing,15
2020-03,bridge,56
2020-04,bridge,56
2020-05,bridge,64
2020-06,bridge,68
2020-07,bridge,68
2020-08,bridge,68
2020-09,bridge,66
2020-10,bridge,61
2020-11,bridge,53
2020-12,bridge,53
2021-01,bridge,52
2021-02,bridge,59
2021-03,bridge,58
2021-04,bridge,62
2021-05,bridge,70
2021-06,bridge,69
2021-07,bridge,70
2021-08,bridge,68
2021-09,bridge,67
2021-10,bridge,65
2020-03,bus riding,34
2020-04,bus riding,26
2020-05,bus riding,35
