variable,group,value
winemaking,2020-09,15
winemaking,2020-10,11
winemaking,2020-11,10
winemaking,2020-12,12
winemaking,2021-01,12
winemaking,2021-02,7
winemaking,2021-03,9
winemaking,2021-04,6
winemaking,2021-05,11
winemaking,2021-06,15
winemaking,2021-07,9
winemaking,2021-08,11
winemaking,2021-09,12
winemaking,2021-10,9
survivalism,2019-01,1
survivalism,2019-02,1
survivalism,2019-03,0
survivalism,2019-04,1
survivalism,2019-05,2
survivalism,2019-06,2
survivalism,2019-07,2
survivalism,2019-08,0
survivalism,2019-09,0
survivalism,2019-10,2
survivalism,2019-11,1
survivalism,2019-12,1
survivalism,2020-01,1
survivalism,2020-02,0
survivalism,2020-03,1
survivalism,2020-04,2
survivalism,2020-05,2
survivalism,2020-06,2
survivalism,2020-07,1
survivalism,2020-08,1
survivalism,2020-09,2
survivalism,2020-10,0
survivalism,2020-11,2
survivalism,2020-12,2
survivalism,2021-01,2
survivalism,2021-02,1
survivalism,2021-03,2
survivalism,2021-04,1
survivalism,2021-05,0
survivalism,2021-06,0
survivalism,2021-07,1
survivalism,2021-08,0
survivalism,2021-09,0
survivalism,2021-10,1
do it yourself,2019-01,11
do it yourself,2019-02,12
do it yourself,2019-03,12
do it yourself,2019-04,12
do it yourself,2019-05,13
do it yourself,2019-06,13
do it yourself,2019-07,12
do it yourself,2019-08,11
do it yourself,2019-09,11
do it yourself,2019-10,13
do it yourself,2019-11,12
do it yourself,2019-12,10
do it yourself,2020-01,11
do it yourself,2020-02,11
do it yourself,2020-03,12
do it yourself,2020-04,15
do it yourself,2020-05,15
do it yourself,2020-06,13
do it yourself,2020-07,12
do it yourself,2020-08,12
do it yourself,2020-09,11
do it yourself,2020-10,12
do it yourself,2020-11,10
do it yourself,2020-12,10
do it yourself,2021-01,10
do it yourself,2021-02,11
do it yourself,2021-03,12
do it yourself,2021-04,11
do it yourself,2021-05,12
do it yourself,2021-06,10
do it yourself,2021-07,10
do it yourself,2021-08,10
do it yourself,2021-09,10
do it yourself,2021-10,12
binge-watching,2019-01,19
binge-watching,2019-02,30
binge-watching,2019-03,19
binge-watching,2019-04,0
binge-watching,2019-05,10
binge-watching,2019-06,30
binge-watching,2019-07,0
binge-watching,2019-08,10
binge-watching,2019-09,28
binge-watching,2019-10,18
binge-watching,2019-11,9
binge-watching,2019-12,9
binge-watching,2020-01,43
binge-watching,2020-02,0
binge-watching,2020-03,31
binge-watching,2020-04,100
binge-watching,2020-05,31
binge-watching,2020-06,16
binge-watching,2020-07,25
binge-watching,2020-08,58
binge-watching,2020-09,16
binge-watching,2020-10,36
binge-watching,2020-11,36
binge-watching,2020-12,55
binge-watching,2021-01,71
binge-watching,2021-02,20
binge-watching,2021-03,27
binge-watching,2021-04,57
binge-watching,2021-05,47
binge-watching,2021-06,19
binge-watching,2021-07,19
binge-watching,2021-08,38
binge-watching,2021-09,10
binge-watching,2021-10,0
jewelry making,2019-01,36
jewelry making,2019-02,33
jewelry making,2019-03,30
jewelry making,2019-04,24
jewelry making,2019-05,31
jewelry making,2019-06,37
jewelry making,2019-07,34
jewelry making,2019-08,34
jewelry making,2019-09,36
jewelry making,2019-10,32
jewelry making,2019-11,35
jewelry making,2019-12,42
jewelry making,2020-01,38
jewelry making,2020-02,36
jewelry making,2020-03,29
jewelry making,2020-04,34
jewelry making,2020-05,36
jewelry making,2020-06,33
jewelry making,2020-07,44
jewelry making,2020-08,42
jewelry making,2020-09,30
jewelry making,2020-10,37
jewelry making,2020-11,38
jewelry making,2020-12,43
jewelry making,2021-01,37
jewelry making,2021-02,40
jewelry making,2021-03,34
jewelry making,2021-04,39
jewelry making,2021-05,33
jewelry making,2021-06,36
jewelry making,2021-07,39
jewelry making,2021-08,40
jewelry making,2021-09,33
jewelry making,2021-10,41
livestreaming,2019-01,54
livestreaming,2019-02,22
livestreaming,2019-03,31
livestreaming,2019-04,42
livestreaming,2019-05,26
livestreaming,2019-06,39
livestreaming,2019-07,31
livestreaming,2019-08,38
livestreaming,2019-09,26
livestreaming,2019-10,28
livestreaming,2019-11,32
livestreaming,2019-12,26
livestreaming,2020-01,34
livestreaming,2020-02,22
livestreaming,2020-03,92
livestreaming,2020-04,100
livestreaming,2020-05,91
livestreaming,2020-06,64
livestreaming,2020-07,63
livestreaming,2020-08,62
livestreaming,2020-09,52
livestreaming,2020-10,47
livestreaming,2020-11,45
livestreaming,2020-12,47
livestreaming,2021-01,34
livestreaming,2021-02,43
livestreaming,2021-03,47
livestreaming,2021-04,52
livestreaming,2021-05,50
livestreaming,2021-06,32
livestreaming,2021-07,44
livestreaming,2021-08,38
livestreaming,2021-09,42
livestreaming,2021-10,22
lace making,2019-01,19
lace making,2019-02,19
lace making,2019-03,14
lace making,2019-04,19
lace making,2019-05,20
lace making,2019-06,16
lace making,2019-07,18
lace making,2019-08,17
lace making,2019-09,15
lace making,2019-10,10
lace making,2019-11,13
lace making,2019-12,15
lace making,2020-01,21
lace making,2020-02,30
lace making,2020-03,13
lace making,2020-04,20
lace making,2020-05,17
lace making,2020-06,14
lace making,2020-07,20
lace making,2020-08,13
lace making,2020-09,23
lace making,2020-10,15
lace making,2020-11,15
lace making,2020-12,15
lace making,2021-01,19
lace making,2021-02,21
lace making,2021-03,22
lace making,2021-04,14
lace making,2021-05,8
lace making,2021-06,5
lace making,2021-07,14
lace making,2021-08,15
lace making,2021-09,15
lace making,2021-10,0
ice skating,2019-01,50
ice skating,2019-02,28
ice skating,2019-03,17
ice skating,2019-04,9
ice skating,2019-05,7
ice skating,2019-06,8
ice skating,2019-07,9
ice skating,2019-08,8
ice skating,2019-09,8
ice skating,2019-10,12
ice skating,2019-11,42
ice skating,2019-12,93
ice skating,2020-01,50
ice skating,2020-02,26
ice skating,2020-03,9
ice skating,2020-04,3
ice skating,2020-05,3
ice skating,2020-06,5
ice skating,2020-07,6
ice skating,2020-08,5
ice skating,2020-09,7
ice skating,2020-10,9
ice skating,2020-11,23
ice skating,2020-12,64
ice skating,2021-01,42
ice skating,2021-02,26
ice skating,2021-03,12
ice skating,2021-04,8
ice skating,2021-05,7
ice skating,2021-06,8
ice skating,2021-07,9
ice skating,2021-08,8
ice skating,2021-09,8
ice skating,2021-10,10
squash,2019-01,58
squash,2019-02,46
squash,2019-03,41
squash,2019-04,36
squash,2019-05,36
squash,2019-06,43
squash,2019-07,49
squash,2019-08,47
squash,2019-09,58
squash,2019-10,84
squash,2019-11,87
